RowNumber,variable1,variable2,variable3,result
110,256,12,A,17420
111,861,68,C,62243
112,416,86,C,33634
113,402,96,B,32868
114,10,74,C,5628
115,148,96,D,16592
116,735,54,C,52863
117,348,53,B,26466
118,184,60,B,16104
119,49,71,A,7800
120,322,59,C,25527
121,139,14,D,10404
122,122,26,B,9768
123,950,11,C,64387
124,388,25,C,27671
125,395,21,B,27456
126,622,26,C,43416
127,410,44,C,30418
128,691,16,D,48076
129,582,92,A,43810
130,605,87,D,47056
131,253,45,B,19668
132,317,67,A,24960
133,39,73,D,7616
134,270,19,C,19363
135,949,16,B,63690
136,157,10,B,11022
137,702,29,B,48246
138,835,85,A,59800
139,647,72,A,46735
140,841,71,D,62016
141,207,53,B,17160
142,41,79,C,8040
143,173,96,C,18023
144,359,37,B,26136
145,719,81,D,54400
146,90,12,B,6732
147,371,92,B,30558
148,937,67,B,66264
149,989,56,B,68970
150,640,57,C,46699
151,55,88,A,9295
152,81,37,B,7788
153,865,30,B,59070
154,634,68,B,46332
155,174,87,B,17226
156,48,36,A,5460
157,324,100,D,28832
158,912,71,B,64878
159,214,62,D,18768
160,20,75,D,6460
161,689,55,D,50592
162,515,37,B,36432
163,101,59,A,10400
164,87,17,A,6760
165,840,72,D,62016
166,436,94,A,34450
167,258,63,C,21507
168,35,31,D,4488
169,352,12,D,24752
170,31,100,A,8515
171,601,35,C,42612
172,372,93,C,31155
173,519,61,B,38280
174,652,32,C,45828
175,132,99,C,15477
176,152,62,D,14552
177,15,61,A,4940
178,869,37,D,61608
179,47,74,A,7865
180,322,43,C,24455
181,166,99,B,17490
182,476,48,C,35108
183,192,96,A,18720
184,861,53,D,62152
185,128,59,B,12342
186,73,75,C,9916
187,897,31,A,60320
188,575,63,A,41470
189,120,21,D,9588
190,60,16,A,4940
191,141,25,B,10956
192,464,94,C,37386
193,156,56,C,14204
194,147,84,A,15015
195,813,18,B,54846
196,963,93,A,68640
197,837,69,A,58890
198,374,66,D,29920
199,271,12,A,18395
200,668,41,C,47503
201,806,33,C,56213
202,84,12,B,6336
203,784,20,C,53868
204,547,38,D,39780
205,506,51,A,36205
206,274,66,B,22440
207,52,34,D,5848
208,236,70,B,20196
209,719,81,A,52000
210,48,36,D,5712
211,216,35,B,16566
212,441,11,C,30284
213,545,12,D,37876
214,232,22,C,17018
215,877,11,B,58608
216,363,78,D,29988
217,454,99,D,37604
218,706,64,C,51590
219,311,39,C,23450
220,374,81,D,30940
221,497,87,A,37960
222,353,77,D,29240
223,963,23,D,67048
224,506,96,A,39130
225,77,39,B,7656
226,72,31,D,7004
227,172,68,D,16320
228,234,85,C,21373
229,111,83,A,12610
230,303,94,C,26599
231,387,13,D,27200
232,552,40,D,40256
233,478,32,B,33660
234,963,56,A,66235
235,429,64,D,33524
236,911,86,D,67796
237,603,26,A,40885
238,393,61,C,30418
239,93,95,A,12220
240,319,31,D,23800
241,980,95,A,69875
242,673,81,C,50518
243,320,83,C,27001
244,461,23,C,32428
245,475,88,B,37158
246,367,14,A,24765
247,676,36,C,47704
248,146,18,D,11152
249,531,35,B,37356
250,343,91,D,29512
251,375,58,D,29444
252,518,24,A,35230
253,208,44,B,16632
254,132,48,A,11700
255,11,23,D,2312
256,218,41,D,17612
257,612,77,D,46852
258,191,35,B,14916
259,605,12,C,41339
260,892,99,C,66397
261,135,23,A,10270
262,959,61,C,68340
263,791,43,D,56712
264,91,80,A,11115
265,11,10,B,1386
266,204,39,D,16524
267,28,47,C,5025
268,8,81,B,5874
269,282,24,A,19890
270,783,60,A,54795
271,645,60,B,46530
272,911,11,B,60852
273,636,86,C,48374
274,16,58,D,5032
275,876,61,C,62779
276,523,89,B,40392
277,478,59,C,35979
278,836,57,C,59831
279,848,37,B,58410
280,988,62,D,71400
281,385,86,C,31557
282,305,41,B,22836
283,593,32,C,41875
284,51,22,C,4891
285,127,38,B,10890
286,194,25,C,14673
287,572,15,A,38155
288,202,35,D,16116
289,853,42,A,58175
290,643,55,B,46068
291,406,47,C,30351
292,420,52,B,31152
293,240,19,C,17353
294,53,70,A,7995
295,497,22,D,35292
296,566,47,D,41684
297,560,35,C,39865
298,503,63,B,37356
299,100,41,C,9447
300,567,92,A,42835
301,767,15,B,51612
302,19,11,B,1980
303,525,34,A,36335
304,979,52,A,67015
305,605,37,A,41730
306,11,52,B,4158
307,19,10,C,1943
308,211,37,D,16864
309,357,26,C,25661
310,298,89,A,25155
311,324,53,B,24882
312,676,77,B,49698
313,954,62,A,66040
314,933,96,B,67914
315,193,74,C,17889
316,648,43,B,45606
317,26,46,A,4680
318,499,35,A,34710
319,911,74,C,65995
320,747,89,C,56012
321,684,32,C,47972
322,329,90,C,28073
323,462,67,A,34385
324,687,67,C,50518
325,679,79,B,50028
326,843,83,D,62968
327,769,75,B,55704
328,678,20,B,46068
329,819,10,C,55543
330,522,69,C,39597
331,497,93,D,40120
332,374,66,C,29480
333,549,84,B,41778
334,395,21,D,28288
335,260,38,A,19370
336,96,28,A,8060
337,864,39,B,59598
338,120,22,D,9656
339,77,44,C,8107
340,271,34,B,20130
341,574,41,A,39975
342,611,27,D,43384
343,679,36,A,46475
344,158,98,A,16640
345,11,18,C,1943
346,189,82,C,18157
347,765,34,D,54332
348,142,17,B,10494
349,387,10,C,26599
350,26,11,A,2405
351,433,77,D,34680
352,135,17,D,10336
353,966,31,D,67796
354,731,89,B,54120
355,504,30,B,35244
356,24,98,D,8296
357,626,98,D,49232
358,404,26,D,29240
359,501,25,B,34716
360,327,20,A,22555
361,850,100,B,62700
362,429,61,A,31850
363,925,60,B,65010
364,640,57,C,46699
365,325,35,B,23760
366,59,86,B,9570
367,717,13,B,48180
368,327,34,B,23826
369,866,32,D,61064
370,694,26,A,46800
371,453,72,C,35175
372,985,33,B,67188
373,241,26,B,17622
374,826,43,A,56485
375,361,77,A,28470
376,379,22,A,26065
377,656,34,C,46230
378,424,77,B,33066
379,972,44,A,66040
380,466,21,C,32629
381,304,92,C,26532
382,520,14,A,34710
383,900,100,A,65000
384,692,25,B,47322
385,73,10,A,5395
386,592,94,C,45962
387,216,31,A,16055
388,28,39,B,4422
389,917,86,C,67201
390,59,30,B,5874
391,483,35,A,33670
392,523,65,B,38808
393,747,94,B,55506
394,157,50,C,13869
395,49,61,C,7370
396,706,42,C,50116
397,213,12,D,15300
398,228,39,C,17889
399,685,28,A,46345
400,267,19,A,18590
401,680,91,B,50886
402,66,92,C,10586
403,810,13,A,53495
404,849,26,B,57750
405,667,52,C,48173
406,841,33,A,56810
407,6,96,C,6834
408,764,48,A,52780
409,216,85,D,20468
410,63,45,C,7236
411,513,52,B,37290
412,309,14,D,21964
413,514,15,D,35972
414,609,42,C,43617
415,798,83,C,59027
416,24,67,B,6006
417,260,54,D,21352
418,230,63,A,19045
419,523,60,C,39061
420,930,47,B,64482
421,613,21,B,41844
422,287,16,C,20301
423,640,95,D,49980
424,197,96,B,19338
425,555,51,C,40602
426,300,59,C,24053
427,267,100,A,23855
428,137,38,C,11725
429,475,16,B,32406
430,216,80,C,19832
431,562,63,A,40625
432,204,17,D,15028
433,697,55,A,48880
434,972,79,D,71468
435,942,48,C,66330
436,158,22,B,11880
437,615,46,A,42965
438,684,66,B,49500
439,653,65,D,48824
440,938,15,C,63851
441,884,31,B,60390
442,187,95,C,18894
443,710,22,C,49044
444,873,30,D,61404
445,83,62,A,9425
446,596,22,D,42024
447,210,15,C,15075
448,595,82,B,44682
449,13,27,B,2640
450,649,63,C,47704
451,60,98,B,10428
452,726,74,C,53600
453,319,24,C,22981
454,591,77,D,45424
455,336,24,D,24480
456,890,46,A,60840
457,396,51,A,29055
458,236,45,B,18546
459,903,86,B,65274
460,226,82,C,20636
461,983,85,A,69420
462,400,65,B,30690
463,347,79,C,28542
464,169,46,D,14620
465,980,40,B,67320
466,629,71,D,47600
467,674,36,B,46860
468,234,33,D,18156
469,206,45,A,16315
470,591,22,B,40458
471,132,99,D,15708
472,7,90,D,6596
473,809,34,C,56481
474,865,67,C,62444
475,317,34,C,23517
476,452,88,A,35100
477,805,49,B,56364
478,7,92,B,6534
479,4,10,A,910
480,834,32,D,58888
481,133,52,A,12025
482,386,97,C,32361
483,449,73,D,35496
484,100,16,C,7772
485,60,31,C,6097
486,325,89,B,27324
487,895,28,D,62764
488,260,75,C,22445
489,400,66,D,31688
490,834,51,D,60180
491,114,94,D,14144
492,779,84,D,58684
493,82,77,B,10494
494,186,81,B,17622
495,892,49,B,62106
496,702,46,B,49368
497,841,45,C,59362
498,279,60,D,23052
499,452,40,D,33456
500,894,67,D,65348
501,543,13,B,36696
502,942,45,B,65142
503,168,69,C,15879
504,266,63,A,21385
505,994,61,C,70685
506,845,90,B,61710
507,121,58,C,11993
508,630,51,A,44265
509,506,87,B,39138
510,3,27,B,1980
511,900,86,C,66062
512,830,88,C,61506
513,438,28,A,30290
514,304,70,D,25432
515,415,55,B,31020
516,769,16,A,51025
517,99,31,C,8710
518,593,87,B,44880
519,234,33,C,17889
520,670,46,C,47972
521,457,25,B,31812
522,363,25,B,25608
523,243,59,B,19932
524,386,59,D,30260
525,908,58,D,65688
526,525,95,D,42160
527,481,58,C,36113
528,408,75,A,31395
529,699,23,B,47652
530,732,31,B,50358
531,131,87,A,14170
532,681,100,A,50765
533,128,33,C,10787
534,558,56,D,41752
535,657,55,C,47704
536,601,39,A,41600
537,489,90,D,39372
538,978,94,B,70752
539,624,38,D,45016
540,940,36,B,64416
541,634,82,A,46540
542,841,14,C,57285
543,620,27,D,43996
544,530,20,D,37400
545,828,35,B,56958
546,565,43,A,39520
547,300,90,B,25740
548,90,72,D,11016
549,741,67,B,53328
550,121,63,B,12144
551,253,81,B,22044
552,393,43,A,28340
553,761,30,C,52997
554,981,71,B,69432
555,913,66,D,66572
556,93,31,B,8184
557,134,35,C,11323
558,951,14,A,62725
559,42,91,D,9044
560,480,37,D,35156
561,202,47,C,16683
562,412,62,C,31758
563,535,20,D,37740
564,980,100,B,71280
565,787,31,B,53988
566,416,74,C,32830
567,840,56,D,60928
568,604,17,A,40365
569,204,46,B,16500
570,148,18,B,10956
571,339,100,D,29852
572,444,31,C,31825
573,138,15,D,10404
574,231,55,B,18876
575,467,57,B,34584
576,724,15,A,48035
577,348,83,D,29308
578,867,85,B,62832
579,799,48,A,55055
580,590,78,A,43420
581,70,78,D,10064
582,596,34,B,41580
583,498,21,D,35292
584,915,77,B,65472
585,450,11,A,29965
586,505,71,C,38592
587,271,19,B,19140
588,729,67,D,54128
589,895,64,A,62335
590,515,23,C,36046
591,906,83,B,65274
592,630,12,B,42372
593,922,96,B,67188
594,285,25,C,20770
595,843,18,D,58548
596,91,54,A,9425
597,363,87,D,30600
598,202,49,A,16315
599,885,49,D,63512
600,77,13,C,6030
601,510,91,C,40267
602,166,96,A,17030
603,784,82,C,58022
604,261,26,D,19516
605,71,50,A,7865
606,157,21,B,11748
607,825,80,C,60635
608,276,29,B,20130
609,600,70,A,43550
610,494,43,B,35442
611,706,87,D,53924
612,126,77,D,13804
613,532,35,D,38556
614,73,98,C,11457
615,145,62,C,13869
616,164,60,D,15232
617,840,45,D,60180
618,27,72,B,6534
619,215,64,C,18693
620,551,48,D,40732
621,523,67,D,40120
622,381,34,B,27390
623,619,23,D,43656
624,129,69,D,13464
625,953,20,D,66164
626,842,84,D,62968
627,828,65,B,58938
628,994,38,C,69144
629,738,89,C,55409
630,204,11,C,14405
631,220,92,A,20280
632,551,98,C,43483
633,845,53,A,58370
634,609,56,D,45220
635,107,69,A,11440
636,939,76,C,68005
637,329,19,C,23316
638,592,38,A,40950
639,602,69,D,45628
640,950,65,A,65975
641,717,47,B,50424
642,689,33,C,48374
643,654,29,A,44395
644,405,60,C,31155
645,153,41,C,12998
646,399,70,B,30954
647,577,60,D,43316
648,73,14,C,5829
649,290,86,B,24816
650,246,83,D,22372
651,32,21,D,3604
652,832,60,C,59764
653,967,44,A,65715
654,373,65,B,28908
655,643,61,A,45760
656,990,12,A,65130
657,879,51,A,60450
658,385,91,B,31416
659,91,90,A,11765
660,527,74,D,40868
661,920,67,D,67116
662,978,61,B,68574
663,713,23,D,50048
664,629,70,D,47532
665,25,64,D,6052
666,966,28,D,67592
667,499,71,D,38760
668,321,30,D,23868
669,884,48,D,63376
670,466,12,A,31070
671,995,31,D,69768
672,675,10,D,46580
673,940,69,D,68612
674,439,48,B,32142
675,334,21,C,23785
676,804,93,B,59202
677,499,30,C,35443
678,180,80,A,16900
679,864,12,B,57816
680,765,82,D,57596
681,106,71,A,11505
682,582,77,C,44153
683,875,94,B,63954
684,83,55,D,9384
685,663,72,A,47775
686,344,38,D,25976
687,302,47,B,23034
688,789,70,C,57553
689,207,42,D,16932
690,314,62,C,25192
691,707,56,D,51884
692,664,40,D,47872
693,761,64,A,53625
694,839,97,C,62712
695,414,33,C,29949
696,89,15,A,6760
697,477,47,B,34584
698,407,74,B,31746
699,180,55,B,15510
700,419,70,A,31785
701,863,88,C,63717
702,991,16,B,66462
703,697,62,D,51612
704,769,30,A,51935
705,756,24,C,52260
706,176,85,B,17226
707,387,47,A,28210
708,69,90,B,10494
709,487,69,A,36140
710,119,24,B,9438
711,349,89,B,28908
712,287,51,C,22646
713,230,32,D,17816
714,208,22,A,14950
715,32,79,D,7548
716,251,10,A,16965
717,739,50,A,51285
718,358,33,B,25806
719,938,47,A,64025
720,146,83,B,15114
721,739,10,B,49434
722,691,26,C,48039
723,532,48,C,38860
724,220,19,D,16252
725,905,81,A,64090
726,986,75,B,70026
727,352,84,B,28776
728,579,67,A,41990
729,539,92,A,41015
730,74,50,D,8432
731,750,99,A,55185
732,995,18,C,67871
733,948,23,A,63115
734,351,88,B,28974
735,233,85,D,21624
736,150,65,B,14190
737,492,22,C,34438
738,977,84,D,72148
739,793,47,B,55440
740,963,11,D,66232
741,14,33,A,3055
742,299,60,C,24053
743,665,87,A,48880
744,420,83,B,33198
745,676,34,B,46860
746,128,31,C,10653
747,167,14,C,12127
748,540,19,A,36335
749,286,46,D,22576
750,530,58,D,39984
751,564,58,B,41052
752,343,74,D,28356
753,927,74,B,66066
754,486,86,C,38324
755,636,95,B,48246
756,9,47,D,3808
757,204,27,A,15015
758,276,93,C,24723
759,757,95,C,57084
760,1,24,B,1650
761,358,71,A,27885
762,212,39,C,16817
763,593,21,C,41138
764,747,10,C,50719
765,4,70,C,4958
766,553,62,A,39975
767,803,96,A,58435
768,271,53,B,21384
769,88,38,D,8568
770,928,22,C,63650
771,716,40,B,49896
772,731,68,D,54332
773,299,41,C,22780
774,540,21,B,37026
775,659,16,C,45225
776,337,42,B,25014
777,787,61,B,55968
778,333,43,D,25568
779,295,84,D,25772
780,616,86,B,46332
781,245,46,A,18915
782,447,36,C,32361
783,769,91,D,58480
784,451,90,A,35165
785,654,42,B,45936
786,510,30,D,36720
787,251,73,D,22032
788,696,54,B,49500
789,314,42,D,24208
790,14,15,D,1972
791,611,99,D,48280
792,966,61,B,67782
793,123,37,C,10720
794,350,86,B,28776
795,113,32,C,9715
796,845,48,A,58045
797,246,61,B,20262
798,174,35,B,13794
799,624,43,C,44689
800,248,55,C,20301
801,757,83,B,55440
802,315,99,D,28152
803,608,23,B,41646
804,533,41,C,38458
805,156,27,C,12261
806,333,10,B,22638
807,134,73,A,13455
808,749,57,A,52390
809,430,10,C,29480
810,788,86,C,58558
811,475,58,A,34645
812,628,98,A,47190
813,398,61,C,30753
814,652,76,B,48048
815,547,64,A,39715
816,976,20,A,64740
817,386,59,C,29815
818,446,67,C,34371
819,776,23,B,52734
820,92,40,A,8580
821,702,39,B,48906
822,309,24,D,22644
823,379,37,D,28288
824,704,30,D,49912
825,784,21,D,54740
826,737,98,A,54275
827,513,45,A,36270
828,196,50,C,16482
829,38,76,C,7638
830,226,19,A,15925
831,885,66,C,63717
832,857,62,A,59735
833,820,17,B,55242
834,746,100,C,56682
835,605,20,A,40625
836,812,57,D,59092
837,43,37,A,5200
838,292,95,A,25155
839,515,37,C,36984
840,111,22,B,8778
841,675,92,A,49855
842,381,58,B,28974
843,682,72,D,51272
844,872,83,C,63985
845,190,92,C,18894
846,108,79,D,12716
847,468,55,C,35041
848,684,64,B,49368
849,597,27,B,41184
850,474,32,B,33396
851,789,42,A,54015
852,726,63,A,51285
853,375,37,C,27604
854,958,52,B,66660
855,161,28,B,12474
856,345,54,D,27132
857,1000,87,B,71742
858,475,19,A,32110
859,954,20,D,66232
860,798,18,B,53856
861,419,88,B,33462
862,772,94,B,57156
863,691,82,A,50245
864,459,33,D,33456
865,139,31,A,11050
866,640,83,D,49164
867,884,40,A,60060
868,356,15,D,25228
869,87,37,C,8308
870,408,58,B,30756
871,245,58,A,19695
872,796,78,D,59432
873,335,33,D,25024
874,678,87,C,51255
875,938,45,A,63895
876,836,18,D,58072
877,90,60,A,9750
878,526,79,D,41140
879,173,37,C,14070
880,421,42,C,31021
881,221,75,B,19536
882,886,59,C,63315
883,675,41,B,47256
884,67,50,A,7605
885,339,20,D,24412
886,73,28,B,6666
887,746,95,D,57188
888,549,77,D,42568
889,70,74,B,9504
890,100,11,C,7437
891,991,85,B,71016
892,226,13,C,16013
893,564,55,D,42092
894,132,37,D,11492
895,602,33,B,41910
896,799,76,D,59500
897,249,77,C,21842
898,316,20,A,21840
899,505,70,B,37950
900,791,100,A,57915
901,985,23,C,67536
902,359,41,A,26000
903,168,61,B,15114
904,626,18,A,41860
905,970,46,C,68072
906,873,68,B,62106
907,151,88,C,16013
908,833,77,B,60060
909,926,47,C,65191
910,802,63,C,57955
911,851,67,A,59670
912,411,22,B,28578
913,820,21,C,56347
914,600,57,C,44019
915,518,24,A,35230
916,302,11,A,20345
917,619,38,A,42705
918,788,59,D,57596
919,228,42,B,17820
920,104,94,C,13266
921,177,42,C,14673
922,160,56,D,14688
923,99,77,C,11792
924,191,35,C,15142
925,724,41,C,51255
926,323,99,D,28696
927,223,36,B,17094
928,526,93,A,40235
929,900,25,B,61050
930,895,11,D,61608
931,548,22,B,37620
932,234,58,B,19272
933,658,20,C,45426
934,186,99,D,19380
935,561,50,C,40937
936,658,86,C,49848
937,967,81,A,68120
938,528,86,C,41138
939,435,95,C,35510
940,64,22,A,5590
941,483,34,A,33605
942,574,37,C,40937
943,441,83,D,35632
944,722,53,D,52700
945,821,50,C,58357
946,340,40,C,25460
947,873,58,C,62377
948,14,68,C,5494
949,892,13,B,59730
950,570,66,A,41340
951,332,32,A,23660
952,950,53,B,66198
953,83,70,B,10098
954,639,100,A,48035
955,207,98,C,20435
956,939,84,C,68541
957,947,24,A,63115
958,793,79,D,59296
959,361,24,B,25410
960,653,85,A,47970
961,9,62,A,4615
962,208,80,A,18720
963,626,24,B,42900
964,177,67,D,16592
965,33,78,A,7215
966,262,92,A,23010
967,224,23,B,16302
968,363,62,B,28050
969,872,18,C,59630
970,848,10,A,55770
971,305,51,D,24208
972,194,82,C,18492
973,805,52,D,58276
974,724,24,D,50864
975,731,30,A,49465
976,65,27,B,6072
977,111,61,B,11352
978,647,71,D,48824
979,122,10,D,8976
980,981,74,D,71740
981,217,87,B,20064
982,726,50,D,52768
983,24,11,A,2275
984,451,47,C,33366
985,956,92,B,69168
986,597,85,A,44330
987,787,99,A,57590
988,291,10,A,19565
989,572,97,D,45492
990,93,30,A,7995
991,708,29,C,49379
992,344,33,A,24505
993,692,12,B,46464
994,30,97,A,8255
995,687,24,D,48348
996,388,49,B,28842
997,471,64,B,35310
998,543,67,D,41480
999,835,23,B,56628
1000,597,60,D,44676
1001,482,91,C,38391
1002,917,68,A,64025
1003,892,23,C,61305
1004,804,96,C,60300
1005,774,41,D,55420
1006,994,30,A,66560
1007,805,96,A,58565
1008,793,49,C,56414
1009,712,10,D,49096
1010,933,82,D,69020
1011,487,30,D,35156
1012,178,15,A,12545
1013,205,52,B,16962
1014,204,76,A,18200
1015,436,17,D,30804
1016,257,80,C,22579
1017,734,71,D,54740
1018,475,93,B,37488
1019,422,47,A,30485
1020,159,70,D,15572
1021,170,60,D,15640
1022,390,10,A,26000
1023,680,93,B,51018
1024,32,31,B,4158
1025,561,89,B,42900
1026,58,77,B,8910
1027,96,36,B,8712
1028,63,71,B,8844
1029,531,49,C,38860
1030,932,84,D,69088
1031,737,11,A,48620
1032,169,29,C,13266
1033,93,86,B,11814
1034,626,60,A,44590
1035,380,61,D,29988
1036,188,81,D,18292
1037,505,59,B,37224
1038,977,60,D,70516
1039,878,59,B,61842
1040,884,84,D,65824
1041,792,48,C,56280
1042,504,34,A,34970
1043,528,64,C,39664
1044,684,96,D,53040
1045,861,37,C,60166
1046,86,27,C,7571
1047,555,62,A,40105
1048,819,16,C,55945
1049,257,51,C,20636
1050,406,60,A,30290
1051,985,36,B,67386
1052,344,47,B,25806
1053,637,87,A,47060
1054,596,73,A,43485
1055,818,95,B,60258
1056,99,79,A,11570
1057,974,23,B,65802
1058,118,14,D,8976
1059,967,38,C,67335
1060,323,85,A,26520
1061,629,27,D,44608
1062,318,70,A,25220
1063,943,56,A,64935
1064,1000,11,D,68748
1065,3,69,B,4752
1066,156,48,D,13872
1067,696,78,C,51858
1068,214,77,B,19206
1069,67,67,C,8978
1070,450,60,A,33150
1071,273,69,B,22572
1072,201,42,C,16281
1073,640,17,A,42705
1074,757,92,B,56034
1075,920,42,D,65416
1076,672,20,A,44980
1077,170,22,D,13056
1078,246,93,D,23052
1079,702,85,A,51155
1080,595,88,A,44395
1081,891,84,A,63375
1082,210,83,C,19631
1083,807,88,C,59965
1084,611,60,A,43615
1085,54,45,B,6534
1086,558,51,B,40194
1087,866,30,B,59136
1088,680,69,A,48685
1089,816,26,B,55572
1090,870,71,D,63988
1091,129,90,A,14235
1092,41,59,A,6500
1093,40,58,D,6664
1094,213,52,B,17490
1095,722,23,A,48425
1096,371,83,D,30872
1097,16,44,D,4080
1098,983,82,A,69225
1099,721,66,B,51942
1100,444,47,B,32406
1101,919,93,D,68816
1102,761,21,C,52394
1103,904,13,A,59605
1104,851,13,B,57024
1105,570,82,D,44336
1106,902,43,B,62370
1107,141,68,A,13585
1108,880,11,D,60588
1109,452,75,D,35836
1110,4,45,D,3332
1111,311,30,D,23188
1112,594,12,C,40602
1113,669,56,B,47850
1114,971,72,D,70924
1115,247,42,C,19363
1116,616,94,D,48280
1117,924,28,B,62832
1118,380,34,B,27324
1119,65,27,B,6072
1120,758,60,D,55624
1121,340,54,A,25610
1122,636,37,C,45091
1123,30,63,B,6138
1124,122,87,D,14212
1125,689,14,C,47101
1126,283,49,C,22244
1127,553,49,B,39732
1128,135,65,D,13600
1129,713,75,B,52008
1130,6,39,C,3015
1131,117,33,A,9750
1132,97,60,A,10205
1133,203,68,C,18157
1134,275,48,B,21318
1135,956,20,A,63440
1136,144,95,B,15774
1137,323,49,A,24180
1138,190,86,A,17940
1139,729,51,B,51480
1140,510,47,A,36205
1141,249,61,B,20460
1142,859,28,C,59429
1143,219,95,B,20724
1144,809,51,D,58480
1145,687,24,D,48348
1146,372,92,A,30160
1147,332,58,B,25740
1148,846,82,A,60320
1149,142,74,D,14688
1150,331,58,A,25285
1151,742,40,C,52394
1152,291,89,A,24700
1153,795,41,D,56848
1154,501,75,A,37440
1155,207,97,C,20368
1156,101,69,A,11050
1157,710,64,B,51084
1158,828,83,A,59215
1159,321,64,C,25795
1160,532,68,B,39600
1161,454,14,D,31824
1162,171,39,C,14070
1163,197,28,B,14850
1164,363,19,B,25212
1165,736,74,A,52650
1166,639,20,C,44153
1167,313,44,A,23205
1168,515,76,C,39597
1169,806,44,B,56100
1170,968,98,A,69290
1171,385,12,A,25805
1172,300,40,B,22440
1173,350,37,A,25155
1174,263,46,B,20394
1175,526,40,A,36790
1176,717,96,A,52845
1177,672,62,B,48444
1178,563,17,B,38280
1179,700,77,A,50505
1180,256,70,C,21842
1181,365,67,B,28512
1182,962,32,D,67592
1183,549,77,D,42568
1184,395,42,A,28405
1185,869,86,C,63985
1186,79,95,C,11658
1187,622,61,D,46444
1188,165,23,C,12596
1189,118,62,B,11880
1190,47,81,B,8448
1191,350,24,B,24684
1192,226,44,B,17820
1193,317,14,B,21846
1194,361,75,B,28776
1195,98,17,D,7820
1196,1,15,D,1088
1197,564,57,B,40986
1198,682,46,B,48048
1199,129,25,A,10010
1200,533,37,D,38760
1201,925,45,C,64990
1202,479,93,C,38324
1203,703,58,D,51748
1204,361,75,D,29648
1205,574,93,A,43355
1206,870,32,C,60434
1207,96,49,B,9570
1208,666,51,A,46605
1209,921,32,D,64804
1210,972,61,D,70244
1211,688,41,D,49572
1212,979,51,B,67980
1213,464,79,B,35838
1214,917,64,B,64746
1215,274,94,A,23920
1216,629,34,C,44421
1217,915,17,B,61512
1218,192,20,B,13992
1219,488,79,D,38556
1220,420,42,D,31416
1221,781,31,C,54404
1222,597,10,B,40062
1223,559,76,D,43180
1224,674,30,B,46464
1225,256,51,B,20262
1226,448,37,B,32010
1227,182,32,A,13910
1228,781,10,A,51415
1229,43,17,A,3900
1230,345,40,A,25025
1231,833,83,D,62288
1232,209,37,B,16236
1233,590,50,B,42240
1234,482,35,C,34639
1235,793,70,D,58684
1236,50,22,D,4896
1237,927,46,B,64218
1238,547,40,A,38155
1239,966,47,C,67871
1240,558,14,C,38324
1241,357,34,D,26588
1242,750,88,C,56146
1243,610,73,D,46444
1244,285,85,A,24050
1245,689,97,C,52662
1246,65,52,D,7956
