RowNumber,variable1,variable2,variable3,result
168,428,82,V,43860
169,200,36,L,17936
170,688,54,J,54908
171,167,23,O,15010
172,135,23,S,13114
173,303,84,Y,34443
174,426,70,T,41664
175,206,97,K,22725
176,141,13,F,10780
177,118,47,G,11715
178,635,75,O,56090
179,609,11,U,52700
180,551,45,F,41720
181,267,98,O,28835
182,573,86,N,51402
183,560,48,S,50464
184,327,13,F,23800
185,453,59,W,44544
186,99,48,E,10143
187,187,55,H,17424
188,228,77,M,23485
189,501,61,F,39340
190,514,74,P,47040
191,544,51,P,47600
192,674,24,O,55142
193,683,58,M,57057
194,22,62,S,6972
195,906,32,C,62846
196,654,61,C,47905
197,980,14,N,77532
198,204,36,X,21120
199,924,96,A,66300
200,860,88,A,61620
201,172,11,X,16104
202,467,42,H,36648
203,708,94,C,53734
204,133,27,B,10560
205,81,70,H,10872
206,163,98,C,17487
207,199,38,U,20145
208,640,16,K,49200
209,560,82,V,55212
210,787,48,K,62625
211,222,31,N,19734
212,35,59,L,7144
213,10,42,X,4576
214,238,48,A,18590
215,862,34,B,59136
216,783,24,W,70209
217,772,43,W,70905
218,263,84,V,29842
219,548,63,L,46436
220,433,42,U,40375
221,279,36,I,22995
222,99,89,Y,16732
223,608,23,D,42908
224,455,90,X,47960
225,125,62,Q,15147
226,874,92,T,81144
227,323,72,Q,31995
228,254,70,W,28188
229,945,81,N,80028
230,960,20,H,70560
231,442,84,Z,47340
232,476,79,Q,44955
233,884,43,L,70452
234,486,76,M,43274
235,551,56,A,39455
236,328,80,Z,36720
237,506,46,L,41952
238,960,56,Z,91440
239,234,53,V,24682
240,270,72,K,25650
241,820,54,Y,77786
242,794,56,S,70550
243,881,69,N,74100
244,239,10,F,17430
245,808,25,I,60809
246,273,11,M,21868
247,939,19,B,63228
248,34,98,W,11484
249,637,65,M,54054
250,831,64,H,64440
251,610,34,M,49588
252,755,55,E,55890
253,364,18,K,28650
254,816,38,I,62342
255,875,83,V,82388
256,86,67,B,10098
257,545,70,R,50430
258,213,42,D,17340
259,94,75,T,14196
260,81,95,C,11792
261,644,27,J,49654
262,194,18,G,15052
263,695,90,X,69080
264,921,79,P,80000
265,226,81,H,22104
266,326,87,P,33040
267,673,83,P,60480
268,160,97,P,20560
269,458,30,L,37088
270,827,10,R,68634
271,436,71,N,39546
272,996,45,J,77034
273,631,51,F,47740
274,991,18,S,83747
275,710,46,G,53676
276,491,22,E,35397
277,694,25,T,60396
278,402,13,R,34030
279,95,100,F,13650
280,240,27,P,21360
281,794,92,G,62906
282,287,92,O,29941
283,726,14,B,48840
284,112,66,K,13350
285,615,57,Q,54432
286,713,81,X,69872
287,301,15,F,22120
288,324,83,C,27269
289,456,45,W,43587
290,522,45,A,36855
291,965,72,S,86071
292,304,81,M,29645
293,337,18,P,28400
294,908,68,K,73200
295,794,89,I,64459
296,1000,10,F,70700
297,916,37,E,65757
298,681,94,X,68200
299,416,65,M,37037
300,187,14,K,15075
301,41,91,I,9636
302,756,11,O,60593
303,119,70,L,14364
304,492,89,O,45899
305,635,67,H,50544
306,258,60,T,26712
307,221,94,L,23940
308,878,33,Y,81079
309,407,52,I,33507
310,310,47,Z,32130
311,781,50,Z,74790
312,756,75,B,54846
313,986,39,X,90200
314,493,93,K,43950
315,483,71,J,40996
316,272,72,E,23736
317,616,94,G,50410
318,893,70,K,72225
319,781,48,H,59688
320,131,61,O,15168
321,182,12,H,13968
322,8,16,O,1896
323,465,24,H,35208
324,787,80,K,65025
325,321,77,X,35024
326,875,29,I,65992
327,950,68,S,84494
328,586,95,Z,61290
329,775,63,K,62850
330,956,44,M,77000
331,590,12,W,52374
332,88,31,W,10353
333,833,78,X,80168
334,493,74,Q,45927
335,628,93,A,46865
336,850,18,T,72912
337,869,69,D,63784
338,849,62,Y,81079
339,228,74,N,23556
340,565,65,W,54810
341,545,61,F,42420
342,464,15,W,41673
343,85,99,X,16192
344,658,27,F,47950
345,635,99,V,63124
346,441,47,P,39040
347,250,97,D,23596
348,285,59,L,26144
349,326,55,D,25908
350,776,92,V,74648
351,674,67,X,65208
352,152,49,T,16884
353,755,62,S,67811
354,176,37,A,13845
355,447,60,A,32955
356,950,30,S,81340
357,652,26,N,52884
358,428,99,X,46376
359,876,82,V,82388
360,852,66,R,75276
361,761,91,M,65604
362,539,88,V,53922
363,580,35,C,41205
364,367,29,X,34848
365,482,66,O,43292
366,514,21,B,35310
367,7,100,T,8988
368,881,26,V,78002
369,151,89,H,17280
370,962,41,L,76228
371,658,11,D,45492
372,66,44,A,7150
373,860,76,S,77688
374,521,47,J,42032
375,777,21,T,67032
376,639,48,U,58395
377,793,21,W,70818
378,550,73,L,47348
379,809,89,S,74534
380,787,98,T,74340
381,414,77,Q,39771
382,607,29,U,54060
383,453,25,T,40152
384,911,60,H,69912
385,601,59,H,47520
386,257,73,T,27720
387,834,68,V,77572
388,266,18,V,24424
389,393,33,W,37062
390,371,22,Z,35370
391,805,58,Z,77670
392,913,41,M,73458
393,644,98,K,55650
394,417,71,J,36112
395,810,56,A,56290
396,983,56,F,72730
397,491,62,C,37051
398,503,53,I,40588
399,398,73,K,35325
400,881,33,T,76776
401,762,72,B,55044
402,875,29,D,61472
403,160,15,J,12950
404,631,13,Y,57316
405,672,63,G,52185
406,692,46,L,56088
407,582,75,G,46647
408,179,11,F,13300
409,266,99,E,25185
410,671,39,M,54670
411,931,45,D,66368
412,780,25,E,55545
413,471,30,L,38076
414,168,92,S,21580
415,382,90,R,38704
416,872,77,U,80665
417,288,11,B,19734
418,766,96,S,71546
419,454,92,M,42042
420,838,62,A,58500
421,709,87,C,53332
422,533,68,X,52888
423,189,17,X,18128
424,771,62,Q,67473
425,782,63,B,55770
426,250,49,A,19435
427,222,93,I,22995
428,863,23,J,65564
429,826,100,B,61116
430,605,13,W,53766
431,413,43,M,35112
432,698,63,V,65446
433,646,84,V,62780
434,831,69,X,79200
435,858,81,K,70425
436,569,34,R,49446
437,481,60,T,45444
438,287,30,I,23141
439,336,92,G,30388
440,499,47,J,40404
441,999,30,U,87465
442,562,10,E,39468
443,665,49,P,57120
444,342,100,Z,39780
445,406,36,K,33150
446,772,92,D,58752
447,102,78,K,13500
448,737,83,H,59040
449,139,47,X,16368
450,461,86,R,44854
451,120,38,L,12008
452,679,84,G,54173
453,684,36,U,61200
454,543,99,C,43014
455,198,36,E,16146
456,781,26,B,53262
457,92,27,G,8449
458,864,47,E,62859
459,266,74,P,27200
460,631,43,Y,59986
461,393,12,P,32400
462,241,54,D,20060
463,573,52,S,51875
464,367,21,U,32980
465,86,94,E,12420
466,198,94,W,25404
467,526,27,X,48664
468,947,96,M,80311
469,924,82,F,70420
470,79,44,W,10701
471,718,41,Q,61479
472,13,94,A,6955
473,579,59,Y,56782
474,426,38,U,39440
475,869,71,X,82720
476,727,84,B,53526
477,923,40,U,81855
478,805,10,Y,72535
479,374,61,C,29145
480,359,77,V,37496
481,16,86,Y,9078
482,769,71,F,58800
483,913,43,S,79348
484,128,68,L,14896
485,31,80,T,9324
486,537,48,Q,47385
487,966,48,P,81120
488,183,13,P,15680
489,644,99,D,50524
490,768,49,U,69445
491,74,92,O,13114
492,439,75,B,33924
493,768,85,Q,69093
494,420,81,C,33567
495,871,38,U,77265
496,16,28,B,2904
497,791,87,M,67606
498,67,56,H,8856
499,618,74,V,59512
500,127,56,J,13542
501,352,42,A,25610
502,22,54,O,6004
503,51,13,L,4864
504,33,61,V,8084
505,846,16,I,62926
506,207,16,M,17171
507,446,48,T,41496
508,974,47,H,73512
509,371,20,K,29325
510,960,42,G,71142
511,275,44,D,21692
512,113,67,X,15840
513,988,68,A,68640
514,336,68,V,34744
515,205,70,T,23100
516,507,64,D,38828
517,415,89,Y,44856
518,539,18,E,38433
519,505,78,R,47806
520,325,53,W,32886
521,696,40,Y,65504
522,413,11,M,32648
523,856,91,I,69131
524,363,18,N,29718
525,943,95,P,83040
526,905,68,L,73948
527,68,85,B,10098
528,34,10,V,3784
529,45,34,T,6636
530,985,41,I,74898
531,689,81,F,53900
532,646,23,Y,59541
533,342,88,T,36120
534,379,49,X,37664
535,592,32,E,43056
536,670,32,B,46332
537,191,45,N,18408
538,688,98,U,66810
539,418,19,O,34523
540,633,55,E,47472
541,562,51,Y,54557
542,72,32,B,6864
543,8,66,A,4810
544,369,43,M,31724
545,209,72,Q,22761
546,402,93,K,37125
547,550,59,H,43848
548,716,39,O,59645
549,882,78,J,71040
550,526,40,N,44148
551,484,56,Z,48600
552,37,23,V,5160
553,239,97,K,25200
554,907,72,S,81257
555,782,42,O,65096
556,126,27,R,12546
557,369,49,R,34276
558,911,99,P,80800
559,407,21,K,32100
560,131,83,J,15836
561,618,47,E,45885
562,274,86,I,26280
563,593,40,I,46209
564,306,78,M,29568
565,828,10,F,58660
566,3,18,K,1575
567,993,82,C,72025
568,503,28,F,37170
569,784,38,T,69048
570,693,52,M,57365
571,580,17,T,50148
572,994,44,H,74736
573,168,44,I,15476
574,411,60,Q,38151
575,609,74,L,51908
576,629,11,W,55680
577,851,80,E,64239
578,997,70,R,87494
579,425,12,J,32338
580,871,67,D,63784
581,11,88,M,7623
582,455,37,O,38868
583,220,88,K,23100
584,744,24,F,53760
585,160,70,R,18860
586,860,70,B,61380
587,257,76,M,25641
588,655,37,P,55360
589,223,11,S,19422
590,608,60,T,56112
591,8,40,H,3456
592,539,14,C,37051
593,17,39,S,4648
594,680,98,V,66908
595,809,16,W,71775
596,467,87,A,36010
597,127,44,E,11799
598,707,100,L,61332
599,660,29,Y,61321
600,371,87,G,32518
601,923,49,W,84564
602,708,92,X,70400
603,622,46,P,53440
604,830,11,M,64757
605,238,32,F,18900
606,862,47,I,66357
607,227,30,F,17990
608,97,95,A,12480
609,978,72,T,88200
610,875,70,D,64260
611,718,47,K,57375
612,747,16,I,55699
613,641,83,I,52852
614,290,37,D,22236
615,295,20,L,23940
616,983,84,A,69355
617,679,10,Q,55809
618,309,73,L,29032
619,764,67,X,73128
620,262,28,U,24650
621,898,37,C,62645
622,342,53,P,31600
623,962,66,Z,92520
624,89,20,B,7194
625,2,89,K,6825
626,979,32,N,78858
627,535,43,L,43928
628,79,58,B,9042
629,956,26,N,76596
630,149,45,B,12804
631,364,81,K,33375
632,645,71,I,52268
633,461,45,R,41492
634,179,24,N,15834
635,614,88,B,46332
636,800,33,A,54145
637,273,58,L,25156
638,112,81,O,15247
639,454,79,J,39442
640,730,56,R,64452
641,278,77,M,27335
642,448,90,R,44116
643,614,99,Q,57753
644,227,25,E,17388
645,280,50,A,21450
646,235,55,W,25230
647,739,17,G,53676
648,682,28,O,56090
649,453,59,K,38400
650,940,49,B,65274
651,919,72,Y,88199
652,993,30,I,74679
653,379,70,J,33226
654,530,72,G,42742
655,716,49,O,60435
656,873,65,T,78792
657,449,64,I,37449
658,34,17,A,3315
659,123,19,Z,12780
660,778,94,I,63656
661,584,38,O,49138
662,808,66,X,76912
663,547,98,I,47085
664,70,72,D,9656
665,486,57,Y,48327
666,22,16,P,3040
667,270,61,F,23170
668,470,69,P,43120
669,979,51,O,81370
670,481,67,X,48224
671,440,45,E,33465
672,776,15,P,63280
673,893,51,A,61360
674,979,20,D,67932
675,41,38,G,5609
676,363,25,B,25608
677,965,81,X,92048
678,46,57,E,7107
679,987,48,P,82800
680,497,76,C,38391
681,811,42,O,67387
682,169,87,U,21760
683,964,87,R,86182
684,79,14,R,7626
685,846,56,D,61336
686,929,62,V,85226
687,542,41,K,43725
688,281,34,P,25200
689,752,91,A,54795
690,604,86,Y,61410
691,241,33,Z,24660
692,313,89,G,28542
693,274,56,Q,26730
694,488,12,M,38500
695,331,83,L,31464
696,555,39,L,45144
697,916,37,L,72428
698,74,11,E,5865
699,119,97,X,19008
700,829,42,O,68809
701,840,88,R,76096
702,423,88,J,37814
703,151,75,P,18080
704,429,94,T,43932
705,454,96,G,39050
706,726,75,G,56871
707,479,46,X,46200
708,782,66,I,61904
709,917,75,S,82336
710,295,34,Y,29281
711,939,32,T,81564
712,407,29,L,33136
713,149,43,E,13248
714,468,69,X,47256
715,688,40,L,55328
716,706,39,U,63325
717,298,27,A,21125
718,522,82,X,53152
719,60,83,N,11154
720,437,33,X,41360
721,454,21,E,32775
722,65,75,G,9940
723,411,11,M,32494
724,695,59,E,52026
725,267,39,G,21726
726,447,36,Z,43470
727,206,42,K,18600
728,840,33,S,72459
729,97,41,X,12144
730,302,91,T,33012
731,697,22,T,60396
732,715,32,R,61254
733,147,87,P,18720
734,890,63,H,68616
735,94,41,Y,12015
736,83,59,M,10934
737,598,86,M,52668
738,353,35,U,32980
739,517,65,I,42486
740,897,53,Y,84550
741,518,39,T,46788
742,816,48,C,57888
743,473,16,O,38631
744,573,62,S,52705
745,149,99,G,17608
746,283,100,L,29108
747,381,66,V,38442
748,635,24,C,44153
749,704,88,Y,70488
750,950,67,X,89496
751,857,68,G,65675
752,611,31,F,44940
753,15,56,W,6177
754,34,36,H,5040
755,697,67,J,56536
756,696,86,I,57086
757,49,70,S,9877
758,201,80,F,19670
759,138,43,Q,14661
760,856,94,T,79800
761,554,84,K,47850
762,998,77,Z,96750
763,418,53,O,37209
764,321,50,L,28196
765,343,29,V,31992
766,664,46,O,56090
767,101,56,N,12246
768,613,10,Y,55447
769,590,34,T,52416
770,657,34,G,49061
771,704,61,W,66555
772,545,67,A,39780
773,35,66,O,7979
774,148,45,A,12545
775,609,71,Z,61200
776,261,16,F,19390
777,463,11,A,30810
778,365,36,X,35288
779,277,83,A,23400
780,139,14,I,11169
781,220,35,K,19125
782,553,71,S,51792
783,389,86,P,38000
784,208,85,Y,26077
785,323,24,F,24290
786,608,59,K,50025
787,879,84,M,74151
788,399,61,I,33580
789,357,73,O,33970
790,400,24,D,28832
791,982,89,J,79254
792,617,27,O,50876
793,124,36,U,13600
794,21,26,H,3384
795,814,42,A,55640
796,610,22,M,48664
797,941,33,I,71102
798,559,97,B,43296
799,700,67,D,52156
800,85,83,R,13776
801,137,66,Z,18270
802,665,69,Q,59454
803,577,41,L,46968
804,920,98,G,72278
805,889,85,B,64284
806,635,73,G,50268
807,905,81,X,86768
808,211,72,U,24055
809,25,37,B,4092
810,237,16,F,17710
811,858,22,X,77440
812,76,28,J,7696
813,654,14,E,46092
814,795,52,A,55055
815,819,66,K,66375
816,992,39,Z,92790
817,258,67,O,25675
818,521,88,B,40194
819,369,76,G,31595
820,258,96,T,29736
821,991,79,D,72760
822,372,62,U,36890
823,470,96,X,49808
824,293,34,V,28122
825,955,90,J,77330
826,325,23,M,26796
827,899,74,Y,86597
828,68,73,H,10152
829,244,24,P,21440
830,123,32,Y,13795
831,412,65,Q,38637
832,582,14,I,43508
833,27,17,L,3344
834,802,38,U,71400
835,592,47,F,44730
836,233,41,Z,24660
837,870,28,V,77228
838,917,60,A,63505
839,100,91,O,15089
840,741,17,T,63672
841,65,56,P,9680
842,340,89,Q,34749
843,427,51,F,33460
844,5,96,I,7373
845,324,27,P,28080
846,723,79,D,54536
847,324,25,T,29316
848,391,58,F,31430
849,212,67,O,22041
850,5,84,J,6586
851,620,71,A,44915
852,651,90,Y,65949
853,179,19,O,15642
854,420,73,X,43384
855,539,27,M,43582
856,518,80,T,50232
857,531,57,U,49980
858,927,77,M,77308
859,241,24,Z,23850
860,9,78,E,6003
861,964,13,L,74252
862,810,53,C,57821
863,16,66,C,5494
864,879,44,D,62764
865,461,47,F,35560
866,204,57,O,20619
867,603,17,W,53940
868,137,17,U,13090
869,811,63,U,74290
870,474,29,A,32695
871,68,54,I,8906
872,77,29,P,8480
873,222,17,H,17208
874,4,35,T,3276
875,557,12,E,39261
876,443,32,U,40375
877,363,77,T,36960
878,320,55,V,32250
879,315,34,X,30712
880,259,58,Z,28530
881,860,74,H,67248
882,178,90,X,23584
883,43,54,E,6693
884,193,66,K,19425
885,621,38,V,56674
886,74,25,P,7920
887,219,85,Q,24624
888,645,34,D,46172
889,452,21,O,37367
890,155,84,B,15774
891,664,23,I,50151
892,294,99,I,28689
893,389,85,M,36498
894,619,48,I,48691
895,872,48,C,61640
896,103,74,Z,15930
897,76,25,H,7272
898,107,42,Y,13261
899,440,67,H,36504
900,987,10,L,75772
901,104,17,F,8470
902,148,33,J,13394
903,255,31,B,18876
904,447,62,T,42756
905,677,28,I,51465
906,871,98,E,66861
907,748,94,Y,74938
908,316,72,T,32592
909,443,10,S,37599
910,29,69,N,7644
911,309,93,D,27336
912,815,51,H,62352
913,595,40,O,50165
914,979,48,A,66755
915,405,76,J,35594
916,111,28,S,11537
917,752,51,K,60225
918,868,79,C,63449
919,734,34,O,60672
920,748,50,X,70224
921,50,78,J,9472
922,303,96,T,33516
923,768,10,Y,69242
924,257,75,N,25896
925,146,81,W,19749
926,400,50,B,29700
927,399,80,X,42152
928,744,10,T,63336
929,386,73,M,35343
930,939,89,Q,83268
931,759,70,K,62175
932,799,44,K,63225
933,573,23,F,41720
934,158,33,L,14516
935,826,72,P,71840
936,715,61,Q,62856
937,46,51,M,7469
938,555,82,B,42042
939,955,86,J,77034
940,820,52,W,75864
941,79,26,T,8820
942,794,60,K,64050
943,385,44,O,33891
944,745,65,W,70470
945,886,69,C,63985
946,116,59,L,13300
947,187,86,O,21567
948,211,50,T,21924
949,716,74,S,65570
950,272,86,I,26134
951,928,22,Z,85500
952,930,95,J,75850
953,534,21,K,41625
954,767,45,T,68208
955,529,79,P,48640
956,629,29,Z,59220
957,570,19,V,50654
958,87,69,N,12168
959,340,31,O,29309
960,958,71,Y,91581
961,961,89,Y,93450
962,620,67,U,58395
963,929,16,Z,85050
964,996,35,J,76294
965,176,97,B,18018
966,659,94,B,49698
967,570,90,Z,59400
968,856,26,J,65268
969,524,49,H,41256
970,647,85,K,54900
971,696,55,X,66088
972,174,65,P,19120
973,155,29,N,14352
974,52,13,P,5200
975,920,20,Y,83660
976,303,14,G,22507
977,684,99,S,64989
978,841,90,V,80066
979,784,74,O,67782
980,912,42,Y,84906
981,285,95,Y,33820
982,412,59,E,32499
983,538,33,P,45680
984,53,60,T,9492
985,313,77,L,29640
986,620,67,A,44655
987,509,47,X,48928
988,406,62,N,36504
989,991,39,Z,92700
990,146,72,K,16350
991,697,91,C,52796
992,635,30,L,50540
993,15,75,L,6840
994,683,57,L,56240
995,233,24,F,17990
996,637,99,F,51520
997,449,25,S,39342
998,714,79,D,53924
999,7,77,S,6972
1000,606,56,W,57594
1001,375,56,J,31894
1002,45,13,D,3944
1003,533,30,K,42225
1004,878,34,C,61104
1005,48,66,D,7752
1006,750,93,S,69969
1007,444,91,A,34775
1008,647,29,S,56108
1009,300,72,Q,30132
1010,45,47,K,6900
1011,305,10,R,25830
1012,185,23,K,15600
1013,362,99,A,29965
1014,615,87,E,48438
1015,686,88,Y,68886
1016,18,99,K,8775
1017,303,60,X,31944
1018,655,85,F,51800
1019,970,86,B,69696
1020,527,77,L,45904
1021,300,32,M,25564
1022,104,33,G,9727
1023,647,93,A,48100
1024,366,88,J,33596
1025,381,82,H,33336
1026,366,62,M,32956
1027,285,72,W,31059
1028,442,96,Y,47882
1029,271,33,L,23104
1030,781,44,Q,66825
1031,851,100,Y,84639
1032,601,83,T,57456
1033,951,50,C,67067
1034,83,62,U,12325
1035,521,94,R,50430
1036,607,88,O,54905
1037,265,38,B,19998
1038,757,18,R,63550
1039,712,44,M,58212
1040,63,91,M,11858
1041,156,38,W,16878
1042,1000,21,O,80659
1043,590,80,L,50920
1044,734,18,L,57152
1045,948,70,S,84494
1046,876,48,O,72996
1047,780,47,N,64506
1048,113,52,Q,13365
1049,204,68,F,19040
1050,712,89,B,52866
1051,500,72,D,38896
1052,859,42,S,74783
1053,177,11,L,14288
1054,445,17,T,38808
1055,114,13,Z,11430
1056,60,78,O,10902
1057,296,67,W,31581
1058,146,78,V,19264
1059,730,35,P,61200
1060,265,95,X,31680
1061,789,35,F,57680
1062,699,24,D,49164
1063,633,97,H,52560
1064,798,41,A,54535
1065,775,28,X,70664
1066,210,27,M,18249
1067,821,26,T,71148
1068,178,28,Y,18334
1069,756,87,G,59853
1070,715,89,J,59496
1071,627,35,G,47002
1072,367,17,O,30336
1073,512,55,R,46494
1074,81,90,O,13509
1075,970,74,M,80388
1076,2,80,W,7134
1077,307,91,O,31442
1078,532,59,F,41370
1079,892,99,V,85226
1080,603,48,R,53382
1081,520,35,L,42180
1082,932,44,B,64416
1083,734,16,Z,67500
1084,426,35,F,32270
1085,922,69,G,70361
1086,311,47,K,26850
1087,952,72,G,72704
1088,395,58,K,33975
1089,457,11,N,36504
1090,674,83,W,65859
1091,295,85,M,29260
1092,182,10,Y,17088
1093,879,21,Y,80100
1094,121,27,I,10804
1095,293,72,N,28470
1096,474,77,O,43529
1097,682,77,D,51612
1098,973,69,C,69814
1099,328,34,H,26064
1100,457,19,F,33320
1101,96,66,B,10692
1102,539,89,G,44588
1103,574,16,B,38940
1104,306,57,U,30855
1105,726,93,P,65520
1106,406,67,X,41624
1107,681,65,A,48490
1108,815,93,N,70824
1109,202,40,X,21296
1110,433,72,Q,40905
1111,399,58,U,38845
1112,797,55,M,65604
1113,367,88,G,32305
1114,58,50,I,7884
1115,198,41,D,16252
1116,620,51,Q,54351
1117,555,41,T,50064
1118,435,41,Y,42364
1119,334,93,J,31598
1120,315,13,S,27224
1121,379,59,V,37668
1122,905,92,T,83748
1123,349,27,K,28200
1124,365,10,U,31875
1125,788,56,X,74272
1126,201,28,B,15114
1127,452,73,E,36225
1128,953,22,X,85800
1129,527,61,U,49980
1130,23,38,K,4575
1131,527,97,N,48672
1132,501,53,M,42658
1133,405,34,P,35120
1134,207,72,U,23715
1135,156,27,X,16104
1136,839,27,Q,70146
1137,167,65,V,19952
1138,246,11,V,22102
1139,404,71,A,30875
1140,343,45,D,26384
1141,296,67,D,24684
1142,560,10,I,41610
1143,373,33,U,34510
1144,223,67,P,23200
1145,630,34,O,52456
1146,323,15,I,24674
1147,187,92,T,23436
1148,998,22,U,86700
1149,323,35,N,27924
1150,570,93,Z,59670
1151,708,12,H,51840
1152,163,82,X,21560
1153,465,19,O,38236
1154,946,76,W,88914
1155,24,72,P,7680
1156,50,80,B,8580
1157,577,75,R,53464
1158,622,86,C,47436
1159,882,46,G,65888
1160,963,21,Y,87576
1161,386,96,Y,42898
1162,214,45,G,18389
1163,352,49,S,33283
1164,788,86,E,60306
1165,973,87,U,90100
1166,23,93,E,8004
1167,108,74,H,13104
1168,501,22,J,38702
1169,217,17,G,16614
1170,569,48,U,52445
1171,457,15,A,30680
1172,914,85,E,68931
1173,882,90,Y,86508
1174,231,53,G,20164
1175,136,79,Z,19350
1176,446,71,S,42911
1177,739,80,C,54873
1178,766,63,Z,74610
1179,636,34,Y,59630
1180,920,97,V,87462
1181,934,53,A,64155
1182,473,81,T,46536
1183,30,45,C,5025
1184,86,28,V,9804
1185,470,79,G,38979
1186,918,88,X,88528
1187,24,17,Q,3321
1188,786,34,K,61500
1189,929,89,U,86530
1190,985,62,H,75384
1191,242,89,W,28797
1192,439,95,C,35778
1193,946,74,O,80580
1194,699,97,D,54128
1195,310,72,R,31324
1196,738,18,T,63504
1197,297,10,M,23639
1198,696,74,K,57750
1199,869,21,A,57850
1200,399,20,J,31006
1201,494,40,I,38982
1202,15,50,I,4745
1203,213,33,P,19680
1204,935,48,E,67827
1205,933,42,Z,87750
1206,343,62,Z,36450
1207,583,76,F,46130
1208,945,67,F,70840
1209,930,59,Q,80109
1210,732,18,B,49500
1211,348,40,V,33368
1212,717,79,J,58904
1213,959,68,K,77025
1214,767,41,Y,71912
1215,791,39,C,55610
1216,218,66,W,24708
1217,495,82,C,38659
1218,268,12,P,22400
1219,681,77,V,65188
1220,273,25,X,26224
1221,753,41,S,65902
1222,487,34,L,39596
1223,649,66,F,50050
1224,850,52,Z,81180
1225,693,76,Y,68441
1226,612,49,P,52880
1227,764,64,F,57960
1228,127,53,M,13860
1229,599,40,S,53037
1230,526,82,T,51072
1231,530,87,A,40105
1232,16,99,G,8165
1233,299,79,M,29106
1234,948,26,W,84738
1235,227,36,L,19988
